Feature,Importance
cumulative_vibration_exposure,0.21500812
days_since_filter_change,0.2105689
equipment_age_days,0.1488898
vibration_magnitude_rolling_std_6,0.09148268
pressure_flow_ratio,0.07481032
thermal_stress_accumulation,0.06989866
rolling_vibration_energy,0.037757512
thermal_hydraulic_stress,0.032253545
days_since_last_maintenance,0.030380292
cumulative_downtime_exposure,0.019856617
temp_celsius_lag_3,0.018953906
flow_lpm_lag_6,0.008434087
pressure_bar_lag_6,0.007410344
temp_celsius_lag_6,0.00602968
vibration_magnitude,0.0055473917
flow_lpm,0.0052525
temp_celsius,0.0043861936
pump_rpm,0.003367815
pressure_bar_lag_3,0.0032301957
vibration_magnitude_lag_3,0.0026485254
pump_rpm_lag_6,0.001835609
pressure_bar,0.0016860212
vibration_magnitude_trend_slope_15,0.00022821348
pressure_bar_delta_1,3.1664153e-05
pressure_bar_trend_slope_15,9.112105e-06
vibration_magnitude_acceleration,8.106098e-06
flow_lpm_delta_1,6.769874e-06
vibration_magnitude_delta_1,6.2039303e-06
temp_celsius_delta_1,4.56815e-06
temp_celsius_trend_slope_15,4.044317e-06
pressure_bar_acceleration,3.831818e-06
temp_celsius_acceleration,2.762467e-06
flow_lpm_acceleration,2.594611e-06
flow_lpm_rolling_std_6,1.9431407e-06
pump_rpm_rolling_std_6,1.479504e-06
