Feature,Importance
cumulative_vibration_exposure,2259
days_since_last_maintenance,2177
thermal_stress_accumulation,1843
pressure_flow_ratio,1554
cumulative_downtime_exposure,1481
equipment_age_days,1165
thermal_hydraulic_stress,918
days_since_filter_change,877
flow_lpm_lag_6,420
flow_lpm,355
pressure_bar,325
temp_celsius,177
vibration_magnitude_rolling_std_6,171
pressure_bar_lag_6,164
rolling_vibration_energy,157
pressure_bar_lag_3,112
pump_rpm,108
flow_lpm_delta_1,105
pressure_bar_trend_slope_15,100
temp_celsius_lag_3,85
pump_rpm_lag_6,84
temp_celsius_lag_6,72
pressure_bar_delta_1,64
vibration_magnitude,61
vibration_magnitude_lag_3,44
pressure_bar_acceleration,28
flow_lpm_acceleration,25
temp_celsius_trend_slope_15,22
flow_lpm_rolling_std_6,13
pump_rpm_rolling_std_6,10
temp_celsius_acceleration,7
vibration_magnitude_trend_slope_15,6
vibration_magnitude_delta_1,6
temp_celsius_delta_1,5
vibration_magnitude_acceleration,0
