feature,importance
cumulative_vibration_exposure,2331
thermal_stress_accumulation,2130
days_since_last_maintenance,2008
cumulative_downtime_exposure,1438
pressure_flow_ratio,1361
equipment_age_days,1221
days_since_filter_change,930
thermal_hydraulic_stress,862
rolling_vibration_energy,463
flow_lpm_lag_6,377
flow_lpm,282
pressure_bar,281
vibration_magnitude_rolling_std_6,227
temp_celsius,170
pressure_bar_lag_3,120
pressure_bar_lag_6,114
pump_rpm_lag_6,95
flow_lpm_delta_1,90
temp_celsius_lag_3,87
pump_rpm,82
temp_celsius_lag_6,82
pressure_bar_trend_slope_15,73
vibration_magnitude,55
pressure_bar_delta_1,33
temp_celsius_trend_slope_15,19
vibration_magnitude_lag_3,18
temp_celsius_delta_1,17
flow_lpm_rolling_std_6,8
pressure_bar_acceleration,7
vibration_magnitude_delta_1,5
flow_lpm_acceleration,4
vibration_magnitude_trend_slope_15,4
pump_rpm_rolling_std_6,3
vibration_magnitude_acceleration,2
temp_celsius_acceleration,1
