,Missing_Count,Missing_Percentage
failure_mode,737280,85.33333333333334
downtime_hours,86400,10.0
vibration_x_g,2590,0.29976851851851855
vibration_y_g,2590,0.29976851851851855
flow_lpm,2590,0.29976851851851855
pressure_bar,2590,0.29976851851851855
pump_rpm,2590,0.29976851851851855
temp_celsius,2590,0.29976851851851855
machine_id,0,0.0
timestamp,0,0.0
is_anomaly,0,0.0
rul_hours,0,0.0
shift,0,0.0
is_sensor_dropout,0,0.0
day_of_week,0,0.0
last_maintenance_timestamp,0,0.0
installation_date,0,0.0
last_filter_change_date,0,0.0
